Abb,Meaning
TDZ,접지구역
TECR,기술상 이유
TEL,전화
TEMPO,일시적인
TF,픽스까지 항적
TFC,교통
TGL,접지 이착륙
TGS,지상활주유도장치
THR,시단
THRU,...을 통하여
THU,목요일
TIBA,항공기에 의한 교통정보 방송
TIL,...까지
TIP,(장소)를 통과할 때까지
TKOF,이륙
TL...,까지
TLOF,접지 및 수직이륙구역
TMA,접근관제구역
TN...,최저온도
TNA,선회고도
TNH,선회높이?
TO...,...로(장소)
TOC,상승완료지점
TODA,사용가능 이륙거리
TODAH,"사용가능 이륙거리, 헬기"
TOP,운상
TORA,이륙활주가능거리
TOX,유독성의
TP,선회지점
TR,항적
TRA,임시유보공역
TRANS,송신 또는 송신기
TREND,경향예보
TRL,고도계전환고도
TROP,권계면
TS,뇌전
TS...,뇌전
TSUNAMI,지진해일(비행장 경보시)
TT,텔레타이프
TUE,화요일
TURB,난류
T-VASIS,T형 진입각지시등
TVOR,비행장 VOR
TWR,관제탑
TWY,유도로
TWYL,유도로 연결
TX ...,최고온도
TXT,원문
TYP,항공기 형식
TYPH,태풍
U,상승경향
UA,무인항공기
UAB...?,...에 의해 권고될 때까지
UAC?,고고도지역관제센터
UAR,고고도 항공로
UAS,무인항공기시스템
UDF,극초단파 방향탐지국
UFN,추후 통보시까지
UHDT,교통량으로 고도상승 불가능
UHF,극초단파
UIC,고고도 비행정보센터
UIR,고고도비행정보구역
ULR,극초장거리
UNA,할수없음
UNAP,승인할 수 없음
UNL,무한정
UNREL,신뢰할 수 없는
UP,불확실한 강수
U/S,사용불능
UTA,고고도관제구역
UTC,국제표준시
...V...,평균풍향에 대한 변화
VA,일정고도를 위한 비행기수
VA,화산재
VAAC,화산재주의보센터
VAC...,시각접근지도
VAL,계곡내
VAN,활주로통제차량
VAR,자기편차
VAR,가시-가청 무선범위
VASIS,진입각지시등
VC...,비행장 부근
VCY,부근
VDF,VHF 방향탐지국
VER,수직의
VFR,시계비행방식
VHF,초단파
VI,교차하기 위한 비행기수
VIP,귀빈
VIS,시정
VLF,초장파
VLR,초장거리
VM,수동종료를 위한 비행기수
VMC,시계비행기상상태
VNAV,수직유도정보제공 항행
VOLMET,비행중 항공기를 위한 기상정보
VOR,전방향표지시설
VORTAC,VOR과 TACAN 병설장비
VOT,VOR 공중장비시험시설
VPA,수직경로진입각
VPT,정해진 항적에 따른 시각기동
VRB,가변성의
VSA,지상의 시각참조물에 의한
VSP,수직강하속도
VTF,최종접근을 위한 레이더 유도
VTOL,수직 이착륙
VV...,수직시정
W,서쪽 또는 서경
W,백색
W...,해수면온도
WAAS,위성기반광역보강시스템(미국)
WAC...,세계항공도
WAFC,세계지역 예보센터
WB,서쪽행
WBAR,활주로시단연장등
WDI,풍향지시기
WDSPR,광범위한
WED,수요일
WEF,...부터 유효
WGS-84,세계측지계
WI,...이내
WID,"폭, 너비"
WIE,즉시유효
WILCO,...에 따르다.
WIND,바람
WIP,작업중
WKN,약해진
WNW,서북서
WO,...없이
WPT,웨이포인트
WRNG,경고
WS,윈드시어
WSPD,풍속
WSW,서남서
WT,"무게, 중량"
WTSPT,용오름
WWW,세계인터넷망
WX,기상
X,횡단하다
XBAR,횡측(진입등화의)
XNG,횡단
XS,공전
Y,황색
YCZ,황색경계구역
YES,예(긍정적)
YR,당신
APAPI,간이식 진입각지시등
AT-VASIS,간이식 T형 진입각지시등
ABM,정좌(우)현에
ABT,대략
ABV,위에
AAL,비행장표점 기준 고도
AGL,지상고도
AMSL,해발고도
MON,산악상공 
ASDA,가속정지가능거리
ACPT,접수하다 또는 접수된
ACP,접수(전문형식지정어)
ACK,수신확인
ACT,활성의 또는 활성
ATA,실제도착시간
ATD,실제출발시간
ADDN,"추가, 추가의"
ADJ,인접한
ABI,사전경계정보 
ADZ,조언하다.
AWTA,가능한 시간에 조언하라.
ADA,조언구역
ADR,조언항공로
ADVS,조언업무
AD,비행장
ABN,비행장 등대
ADC,비행장 지도
SNOCLO ,눈으로 인하여 비행장 폐쇄
TWR,관제탑
AFIS,비행장 비행정보업무
TAF,비행장 예보
AOC,비행장장애물도
ADO,비행장사무소
PRFG,비행장이 부분적으로 안개에 덮여 있음
ARP,비행장 표점
METAR,정시관측보고(기상코드)
SPECI,특별관측보고(기상코드 형태)
AGA,"비행장, 항공로 및 지상지원시설"
ATZ,비행장 교통구역
ANC,항공도-1:500 000
AFS,항공고정업무
AFTN,항공고정통신망
AIC,항공정보회람
AIP,항공정보간행물
AIRAC,항공정보관리절차
AIS,항공정보업무
MAP,항공지도 및 도면
AMSS,항공이동위성통신시설
AMS,항공이동업무
ANCS,항행도-소축척
ATN,항공종합통신망
AFT,"...이후(시간, 장소)"
APSG,통과 후
AGN,"재차, 다시"
ACAS,공중충돌경고장치
ACFT,항공기
ACCID,항공기사고통보
AAIM,항공기 자체 무결성 감시
ACN,항공기등급번호
ACARS,공중/지상 데이터통신시스템
AES,항공기 지구국
APDC ,항공기 주기/접현도
ADIZ,방공식별구역
AP,공항
AIREP,항공기보고
ARP,항공기보고(전문형식 지정어)
GAIN,대기속도 또는 정풍 증가
LOSS,대기속도 또는 정풍 감소
A/A,공대공
A/G,공대지
ATC,항공교통관제
ATCSMAC,ATC 감시 최저고도 지도
ATFM,항공교통흐름관리
ATM,항공교통관리
ATS,항공교통업무
AIDC,항공관제정보교환망
ARO,항공교통업무취급소
AWY,항공로
ALR,경계(전문형식지정어)
ALRS,경계업무
ALERFA,경계단계
ALA,착륙(착수)지역
AUW,총중량
ALTN,"교차하다, 교차하는(교차등화는 색이 교대로 바뀜)"
ALTN,교체(공항(또는 비행장))
ACL,고도계점검지점
QNH,지상의 표고를 얻기위한 고도수정치 
ASE,고도측정시스템오류
ALT,고도
AC,고적운
AS,고층운
A,호박색
AMD,"수정, 수정된(수정된 기상전문을 나타내기위해 사용됨); 전문형식지정어)"
AAA,수정기상전문
AMDT,수정판(항공정보간행물 수정판)
ANS,응답
APCH,접근
APP,"접근관제소, 접근관제, 접근관제업무"
ALS,진입등시스템
APV,"승인하다, 승인된, 승인"
APRX,"대략, 대략적으로"
APR,4월
APN,계류장
ARC,지역도
ACC,지역관제소(항공교통센터) 
GAMET,저고도비행을 위한 지역기상예보
AMA,구역최저고도
RNAV,지역항법
ARNG,조정하다.
ARST,제동(항공기제동장비의 부분 명시)
ARR,"도착하다, 도착"
ARR,도착(전문형식 지정어)
ASC,"~까지 상승, ~까지 상승함"
ASPH ,아스팔트
AAD,배정고도 이탈
SAP,가능한 한 신속하게
AT...,...에(기상변화가 시작될 것으로 예상된 시간이 이어짐)
ATP,...에(시간 또는 장소)
QFE,비행장표고(활주로시단)로 환산한 대기압
XS,공전
MAR,바다
MRP,항공교통업무/기상 보고지점
ATTN,주의
COT,해안에
AUG,8월
AUTH,"인가된, 인가"
FISA,자동비행정보업무
ADS-B,자동종속감시시설-방송
ADS-C,자동종속감시시설-계약
ADSU,자동종속감시장치
ADF,자동방향탐지기
ARQ,자동오차교정
ATIS,공항정보방송시설
AUX,보조
AVBL,"이용 가능한, 이용가능"
AVG,평균
AVGAS,항공유
METAR,정시관측보고(기상코드)
SPECI,특별관측보고(기상코드)
AZM,B
BARO-VNAV,기압고도계를 이용한 수직정보제공 항행
BCN,항공등대(항공지상등화)
BRG,방위
BECMG,변화하는
BFR,...의 앞에
BLW...,...미만
BLO,구름 아래
BTN,...사이
BTL,층간
BUFR,기상데이터의 표현을 위한 2진법의 일반형식
BL...,"날리는(DU = 먼지, SA = 모래 또는 SN = 눈과 결합)"
B,청색
BOMB,폭탄투하
BDRY,경계
BRKG,제동
BA,제동상태
BCST,방송
BS,상업방송국
BKN,운량 5/8이상 7/8이하
BLDG,건물
VSA,C
CLBR,교정
CS,호출부호
CLG,호출
CNL,취소
CD,광도의 단위 칸델라
CAT,범주
CTN,주의
C,섭씨
CM,센티미터
...C,중앙(평행활주로를 식별하기 위해 활주로 번호 다음에 옴)
CL,중심선
CF,...로 주파수를 변경
COP,주파수변경지점
CH,채널
CK,점검
CGL,선회등
CC,권적운
CS,권층운
CI,권운
CIV,민간
CAT,청천 난류
CLR,인가
CLA,투명한 형태의 얼음 정보
CWY,개방로
CLIMB-OUT,급상승 구역
CMB,~까지 상승 또는 ~까지 상승함
CTAM,상승 후 고도 유지
CLSD,폐쇄하다 또는 폐쇄된 또는 폐쇄
CLD,구름
BASE,운저
TOP,운상 
CVR,조종실음성기록장치
CRM,충돌위험모형
CMPL,완료
CIDIN,공통 ICAO 데이터 교환망 
COM,통신
CNS,"통신, 항행, 감시"
CONC,콘크리트
COND,조건
CFM,확인한다.(절차신호로서 항공고정업무에 사용되는)
RF,픽스까지 원형 선회
CONST,공사
CTC,교신하다.
CONT,계속하다
CONS,계속적인
H24,24시간 운용
CW,지속파
CTL,관제
CTA,관제구
OPC ,관제지시는 운항통제이다.
CPDLC,관제사-조종사간 데이터통신시설
CTR,관제권
COOR,조정
UTC,국제표준시
Z,국제표준시 표시기호(기상전문에서)
COORD,좌표
CDN,조정
COR,수정
CCA,수정기상전문
FA,픽스로부터 고도까지 진로
FM,한 픽스에서 수동종료지점까지 진로 (항행 데이터베이스 입력에 사용)
CF,픽스를 향하는 진로
CA,고도 상승을 위한 진로
COV,덮인
X,횡단하다
XBAR,횡측(진입등화의)
XNG,횡단
CRZ,순항하다.
CUF,적운형
CB,적난운 
CU,적운
CPL,최신 비행계획서(전문형식 지정어)
CUST,세관
CRC,D
DLY,매일
DNG,위험 또는 위험한
D...,위험구역(식별부호가 이어짐)
D-ATIS,디지털 공항정보방송시설
DLIC,데이터링크초기능력(ATS 지상시스템과 항공기 시스템간 데이터링크 통신을 가능하게 하는 정보를 제공하는 통신시스템의 작업)
D-VOLMET,비행중인 항공기에 제공하기 위한 데이터링크 기상 방송 정보
DTG,일자-시간 그룹
DCP,기준통과점
DR,추측항법
DEC,12월
DA,결심고도
DH,결심고도(활주로접지구역으로부터)
DEG,도(방위 또는 각도)
C,섭씨 
DLA,지연(전문형식 지정어)
DLA,지연하다 또는 지연된
RTD,지연(기상전문)
RRA,지연기상전문
DUC,겹구름
DEP,출발하다 또는 출발
DEP,출발(전문형식지정어)
DER,이륙활주로종단
DEPO,퇴적 
DPT,깊이
DES,...까지 강하 또는 ~까지 강하함
DTAM,강하 후 고도 유지
DEST,목적지
DTRT,악화시키다 또는 악화되는
DEV,이탈 또는 이탈하는
DP,노점온도
DIF,발산
DFDR,디지털 비행자료기록장치
DCT,직접(비행계획서 허가 및 접근형태와 연관하여 사용) 
DCPC,관제사와 조종사간 직접 통신
DF,방향탐지
DTHR,활주로 이설시단
DIST,거리
DFTI,접지지시계기로부터 거리
DME,거리측정시설 
DETRESFA,조난단계
DIV,회항하다 또는 목적지 변경
DCKG,접현
DOM,국내의
DVOR,도플러식 전방향표지시설
DCD,이중복선
DCS,이중단신
DSB,양측파대
D,하향경향(이전 10분동안 활주로가시거리 경향)
QDL,귀국은 당국에게 방위의 연속측정을 요구하려고 합니까? 또는 당국은 귀국에게 방위의 연속 측정을 요구하려고 합니다. (Q코드로서 무선전신에 사용)
DZ,이슬비
DTW,세로 이중 겹바퀴  
DW,이중바퀴
DUR,기간
DRG,동안
PO,먼지/모래 소용돌이 (회오리바람)
DS,E
E,동경
EB,동쪽행
ENE,동북동
ESE,동남동
WEF,...부터 유효
WIE,즉시유효
EFIS,전자비행계기장치
ELEV,표고
EDA,고도차이지역
EMBD,구름층 사이에 묻혀있는 (다른 구름층에 묻혀있는 적란운을 나타내기 위해 사용)
EMERG,비상
ELBA,비상위치표지등-항공기
ELT,비상위치지시용 무선표지설비
EM,"발사(전파의), 배출(배기가스)"
ENG,엔진
EVS,시각강화시스템
ENR,항공로
ENRC...,항공로지도
RSR,항공로감시레이더
EQPT,장비
EEE,오차
EST,예측하다 또는 예측된 또는 예정 (전문형식지정어)
EET,소요예정시간
EOBT,이동예정시간
ETA,도착예정시간 또는 도착예정
ETD,출발예정시간 또는 출발예정
ETO,중요지점통과예정시간
EGNOS,유럽위성기반보정시스템
EUR RODEX,유럽지역 운영기상 데이터교환
EV,모든
EXC,...을 제외하고는
EXER,연습 또는 연습하는 또는 연습하다.
EXP,예상
EFC,예상허가발부시간
EAT,접근예정시간
EXTD,연장하다 또는 연장하는
ELR,초장거리
EHF,F
FAL,국제항공운송의 출입국 간소화
FAC,시설
FAX,모사전송
FEB,2월
FT,피트(치수의 단위)
FPM,분당 피트
FEW,운량이 1/8이상 2/8이하
FTP,가상시단지점
FLD,비행장 지면
FPL,제출비행계획서(전문형태약어)
FNA,최종접근
FATO,헬기의 최종접근 및 이륙구역
FAF,최종접근픽스
FAP,최종접근지점
FAS,최종접근단계
FRNG,사격
FST,첫째
F,고정된
FLR,조명탄
FLG,섬광하는
FLT,비행
FLTCK,비행검사
FDPS,비행자료처리시스템
FIC,비행정보센터
FIR,비행정보구역
FIS,비행정보업무
FL,비행고도
FMC,비행관리컴퓨터
FMS,비행관리시스템
FPAP,비행경로정렬지점
PLN,비행계획서
CNL,비행계획서 취소(전문형태약어)
AFIL,비행중에 제출된 비행계획서
FPR,비행계획서상의 비행로
FSS,비행정보업무국
FTE,비행기술오류
FTT,비행기술오차
FMU,흐름관리석
FLUC,변동하는 또는 변동 또는 변동된
FLY,날다 또는 날으는
FG,안개
BCFG,산재된 안개
FLW,뒤따르다 또는 뒤따르는
FCST,예보
FZ,결빙
ZDZ,어는 이슬비
FZFG,어는 안개
FZRA,어는 비
FREQ,주파수
FRQ,빈번한
FCT ,마찰계수
FRI,금요일
FM,...로부터
FM... ,...로부터(날씨변화가 시작되는 예상시간)
DE,...로부터(호출국의 호출부호앞에 사용)(절차신호로서 항공고정업무(AFS)에 사용)
FRONT,전선(기상관련)
FROST,서리(비행장 경보에 사용)
FR,잔여 연료
FSL,착륙
FC,G
GARP,위성항법시설(지상기반지역보강시스템) 방위참조지점
GLS,위성항법시설(지상기반지역보강시스템) 착륙시설
GEN,일반 또는 총칙
GEO,지리 또는 진방위 
GUND,지오이드기복
GP,활공각제공시설
GPA,활공각
GPIP,활공로 교차지점
GLD,활공기
GNSS,위성항법시설
GLONASS,"전지구위성측지시스템(러시아) (""GLO-NAS""로 발음됨)"
GPS,위성항행시스템
GA,"계속하라, 송신을 재개하다 (절차신호로서 항공고정업무(AFS)에 사용)"
GAGAN,위성기반광역보강시스템(인도)
GRASS,초지착륙지역
GRVL,자갈 
G,녹색
GND,지상
GBAS,"위성항법시설(지상기반지역보강시스템) (""GEE-BAS”로 발음됨)"
GRAS,"위성항법시설(지상기반광역보강시스템) (""GRASS""로 발음됨)"
VSA,지상의 시각참조물에 의한
GNDCK,지상점검
GCA,지상유도접근시설 또는 지상유도접근
GES,지상 지구국
GMC...,지상이동도 (명칭/제목이 이어짐)
GPWS,지상접근경고장치
GS,대지속도
G/A,지대공
G/A/G,H
GR,우박
HBN,위험표지등대
HZ,연무
HDG,기수
VM,수동종료를 위한 비행기수
VA,일정고도를 위한 비행기수
VI,교차하기 위한 비행기수
HUD,전방시현기
HVY,무거운
HVY,무거운 (기상현상의 강도 표현에 사용)
HPA,헥토파스칼
HGT,높이 또는 표고
HEL,헬기
HAPI,헬기장진입각지시등
ER,여기
HZ,헤르츠(초당 진동횟수)
HVDF,"HF, VHF 방향 탐지국(병설)"
HF,단파
HDF,단파 방향탐지국
H,고기압지역 또는 고기압의 중심
HYR,...보다 높은
HLDG,체공
HF,한 픽스에서의 체공/레이스트랙
HM,수동 종료점에서의 체공/레이스트랙
HA,고도에서의 체공/레이스트랙 
HOL,휴일
HOSP,환자수송기
HR,시간
HURCN,I
NIL,없음 또는 보낼 전문 없음
IC,"세빙 (떠다니는 아주 작은 세빙, 다이아몬드 먼지로도 불림)"
IR,활주로 결빙
PL,"우박, 싸라기눈"
ICE,착빙
IDENT,식별
IBN,식별등대
IFF,피아식별장치
ID,식별자 또는 식별하다
INP,가능하지 않을 경우
IMT,즉각의 또는 즉시
IMG,출입국관리
IMPR,개선하다 또는 개선하는
IAO,구름 내/외
INC,운중
INBD,입항
ISB,독립측파대
IAS,지시대기속도
TX,최고온도표시기
INS,관성항법장치
IRS,관성항법장비 
INFO,정보
SIGMET,항공로주요기상정보
AIRMET,저고도 항공기 운항안전에 영향을 줄 수 있는 항공로 기상현상에 관한 정보
INA,첫접근
IAF,첫접근지점
LAN,육지
IM,내측마커
INOP,작동하지 않는
INPR,진행중
INSTL,설치하다 또는 설치된 또는 설치
INSTR,계기
IAC...,계기접근도 (명칭/제목이 이어짐)
IAP,계기접근절차
IFR,계기비행방식
ILS,계기착륙시설
IMC,계기기상상태
INTSF,강화하다 또는 강화하는
INTST,강도
IF,중간접근픽스
INTL,국제
IGA,국제일반항공
NOF,국제항공고시보취급소
ISA,국제표준대기
SI,국제표준단위체계 
IMI,의문부호 (질문부호) (절차신호로서 항공고정업무(AFS)에 사용)
INTRG,질문기
INTRP,중단하다 또는 중단 또는 중단된
INT,교차
IAR,항공로 교차점
VAL,계곡 내
ISOL,J
JAN,1월
JTST,제트기류
JUL,7월
JUN,K
KG,킬로그램
KHZ,킬로헤르츠
KM,킬로미터
KMH,시속(시간당 킬로미터)
KPA,킬로파스칼
KW,킬로와트
KT,노트
KIAS,L
LDG,착륙
LDI,착륙방향지시기
LDA,착륙가능거리
LDAH,"착륙가능거리, 헬기"
LTP,착륙시단지점
LTT,유선전신
LNAV,횡적안내정보제공항행 
LAT,위도
LYR,층 또는 층으로 이루어진
LVE,떠나다 또는 떠나는
...L,좌측 (평행활주로를 식별하기 위해 활주로번호 다음에 옴)
LEN,길이
LVL,고도
FBL,"약한(기상현상, 혼신 또는 공전의 보고의 강도를 표시하는데 사용. 예, FBL RA = 약한 비)"
LGT,항공등화 또는 조명
LV,약하고 변하는(바람과 관련된)
LIH,고광도
LIL,저광도
LIM,중광도
LGTD,조명된
LTD,제한된
LINE,선형(SIGMET에서 사용)
LCA,국지 또는 국지적으로 또는 위치 또는 위치한
LMT,지역표준시
MET REPORT,국지정기기상보고(평문 약어 사용)
SPECIAL,국지특별관측보고(평문형태)
LOC,방위각제공시설
LPV,수직안내정보가 제공되는 로컬라이저 항행성능
L,로케이터
LM,중간 로케이터
LO,외측로케이터
LAM,확인응답 (전문형식지정어)
LNG,긴 (원하거나 요구하는 접근의 종류를 나타내기 위해 사용됨)
LONG,경도
LRG,장거리
LORAN,장거리항행시스템
DR...,"낮은 날림(DU = 먼지, SA = 모래 또는 SN = 눈과 결합)"
LF,장파
L,저기압지역 또는 저기압 중심
LVP,M
M...,마하수(뒤에 숫자가 이어짐)
MAG,자방위의
QDR,자방위
QDM,무풍 자침로
QFU,자북기준 활주로 방향
VAR,자기편차
MNTN,유지하다.
MAINT,"정비, 유지, 보수"
MAS ,수동 Al 단방향방식
MAR,3월
MKR,마커무선표지
MAX,최대
MAA,최고승인고도
TX . . .,최고온도
P...,풍속 및 활주로가시거리(RVR) 최대치 (METAR/SPECI 및 TAF의 수치가 이어짐)
MAY,５월
MSL,평균해수면
MHDF,중단파 방향탐지국(병설)
MF,중파
MDF,중파방향탐지국
MHVDF,"중,단, 초단파방향탐지국(병설)"
MRG,중거리
MHZ,메가헤르츠
MSG,전문
MSR,전문 ~(전송식별번호)이 잘못 전달되었음 (절차신호로서 항공고정업무(AFS)에 사용)
MET,기상 또는 기상학
VOLMET,비행중 항공기를 위한 기상정보
MWO,기상감시소
...M,미터(앞에 숫자가 옴)
MPS,초속(초당 미터)
MTU,미터법
MBST,마이크로버스트
MLS,계기착륙시설(마이크로파)
MM,중간마커
MID,중간 RVR 지점
MIL,군
MOA,군훈련공역
MNM,"최소, 최저"
MCA,최저통과고도
MDA,최저강하고도
MDH,최저강하높이
MEA,최저항공로고도
MEHT,활주로시단상 최저시각통과높이(진입각지시등에 사용)
MNPS,최소항행성능기준
MOC,최저장애물회피허용치
MOCA,최저장애물회피고도
MOPS,최저성능기준
MRA,최저수신가능고도
MSAW,최저안전고도경고
MSA,최저섹터고도
TN...,최저온도
M...,활주로거리거리의 최저치(정시관측 및 특별관측보고의 숫자가 이어짐)
MS,음의
MIN,분
MAHF,실패접근체공픽스
MAPT,실패접근지점
MATF,실패접근선회픽스
MIS,없어진 ~ (전송식별번호) (절차신호로서 항공고정업무(AFS)에 사용)
BR,박무
MX,혼합형 얼음 생성(흰색과 투명색)
MOD,"중간강도의 (기상현상, 혼신 또는 공전 보고의 강도를 나타내기 위해 사용. 예, MODRA = 중간 강도의 비)"
CHG,변경(전문형태약어)
MCW,변조지속파
MON,월요일
MNT,감시하다 또는 감시하는 또는 감시되는
MSSR,모노펄스 2차 감시레이더
MT,산
MTW,산악파
MOV,이동하다 또는 이동하는 또는 이동
MSAS,N
NTL,국내
NASC,국가 항공정보업무시스템 센터
NM,해리(해상마일)
NAV,항행
NSE,항행시스템오류
CIT,대도시 주변 및 상공
NXT,다음
NGT,밤
NSC,특이할 구름 없음
NSW,중요기상현상 없음
NS,난층운
NEG,없음 또는 부정 또는 허가하지 않음 또는 정확하지 않음
NC,변화 없음
NCD,감지된 구름 없음(자동화된 METAR/SPEC에 사용된)
NDV,방향변화를 이용할 수 없음 (자동화된 METAR/SPECI에 사용된)
N,변화경향없음(이전 10분동안 RVR에서)
NO,아님 (부정) (절차신호로서 항공고정업무(AFS)에 사용)
NN,"무명의, 익명의"
NRH,응답없음
NOSIG,현저한 변화 없음 (착륙 경향예보에 사용)
HX,특정하게 명시된 운용시간 없음
NTZ,진입불가구역 
NADP,소음저감출발절차
NDB,무지향표지시설
NPA,비정밀접근
NIL,없음 또는 보낼 전문 없음
NML,정상
NOZ,장비성능상 운영에 신뢰성을 유지할 수 있는 범위
N,북 또는 북위
NAT,북대서양
NB,북쪽방향
NE,북동
NEB,북동방향
NNE,북북동
NNW,북북서
NW,북서
NWB,북서방향
NBFR,...의 앞이 아님
NOTAM,항공고시보
ACCID,항공기사고통보
NOV,11월
NR,O
OBSC,가리다 또는 차폐된 또는 차폐되는
OBS,관측하다 또는 관측된 또는 관측
OBST,장애물
OAS,장애물평가표면
OCA,장애물회피고도
OCH,장애물회피높이
OCS,장애물회피표면
OFZ,무장애구역
OIS,장애물식별표면
OCNL,때때로의 또는 때때로
OCC,명멸(등화)
OSV,대양기지국선
OAC,대양지역관제센터
OCA,대양관제지역
OCT,10월
OLDI,온라인자료교환
O/R,요청시
OTP,운상
OPA,"불투명, 흰색 형태의 얼음생성"
OPN,개방하다 또는 개방하는 또는 개방된
OPS,운영
OPR,운영자 또는 운영하다 또는 영향을 미치는 또는 운영하는 또는 운영상의
OPC ,운항통제는 관제지시이다.
OPMET,운영기상(정보)
ORD,순서
OTS,계획추적시스템
OGN,발신 (절차신호로서 항공고정업무(AFS)에 사용)
OUBD,출항
OM,외측마커
OVC,운량 8/8
OHD,P
PJE,낙하산 강하연습
PARL,평행
PRKG,"주차, 계류"
PAX,승객
PSG,통과
PCN,포장등급번호
PER,성능
PBN,성능기반항행
PERM,영구한
POB,탑승인원
PSP,철재판
PCL,조종사제어등화
PPI,감시용레이더표시장치
PS,가산
PRP,공간점 기준점
PNR,회항불가지점
PTS,극권항로구조
PSN,위치
POSS,가능한
PWR,"출력, 전력"
PLA,저공접근훈련
PA,정밀접근
PALS,정밀진입등시스템(등급 명시)
PAPI,진입각지시등
PAR,레이더시설(정밀접근레이더)
PATC...,정밀접근지형도 (명칭/제목이 이어짐)
PDC,사전출발허가
PIB,비행전정보게시
PLVL,현재고도
PPSN,현재 위치
PSYS,기압계통
PRI,"1차, 주, 최최의"
PSR,1차감시레이더
PN,사전통보를 요함
PPR,사전허가를 요함
PROB,"가능성, 확률"
PROC,절차
PDG,절차설계경사율
PTN,절차선회
PANS,항행업무절차
PCD,진행하다 또는 진행하는
GRID,2진법 형태의 격자점 값으로 구성된 처리된 기상자료 (기상코드)
P...,금지구역 (식별번호가 이어짐)
PROV,Q
QUAD,R
RPI,레이더 항공기 위치표시기
RPS,레이더위치기호
RDL,방위
RDO,무선
RNG,무선통달거리
RCF,무선통신두절 (전문형식지정어)
RTG,무선전신
RTF,무선전화
RTT,무선텔레타이프
RAG,"결점이 있는, 불완전한"
RA,비
RG,유도(등)
ROC,상승율
ROD,강하율
R,선회율
RCH,도달하다 또는 도달
RCA,순항고도 도달
REC,수신하다. 수신기
R,수신한 (수신 확인) (절차신호로서 AFS에 사용)
RAIM,수신기 자체 무결성 감시장비 (항공기 자체적으로 인공위성의 정상작동여부를 감시하고 신호의 무결성을 보증할 수 있는 장비)
RON,수신에 한함
RE,"최근(기상현상을 한정하기 위해 사용, 예. RERA = 최근 비)"
RIF,비행중 재승인
RCLR,재인가
R,적색
RVSM,수직분리축소공역
RDH,참조기준점 높이
RPDS,참조경로자료 선택장치
REF,~를 참조 또는 ~를 참고하다
RASC,지역 항공정보시스템센터
ROBEX,지역기상운용회보 교환
SUPPS,지역보충절차
REG,등록
RTODAH,"이륙포기가능거리, 헬기"
RLA,중계하다.
RMK,비고
RASS,원거리 고도계 수정치 출처
RPT,반복하다.
RPL,반복비행계획서
RPLC,"교체, 대체하다."
REP,보고하다 또는 보고 또는 보고지점
RL,이탈보고
RR,도달통보
REQ,요구하다 또는 요구되는 
RQ,요구하다.
RQP,비행계획서 요구
RLCE,항공로상 고도 변경요구
RQS,보충비행계획서 요구
RLNA,요구고도 이용불가
RCP,필수통신성능
RNP,필수항행성능
RQMNTS,요구사항
RERTE,항공로변경
RB,구조보트
RCC,구조조정본부
RSC,구조지원센터
RV,구조선
RA,회피 조언
RSP,응답비컨
R...,제한구역(식별번호가 이어짐)
RTN,복귀(하다)
RTS,운영재개하다.
RITE,우측(선회방향)
...R,오른쪽(평행활주로를 식별하기 위해 활주로번호 다음에 옴)
RHC,우측장주
RIME,무빙(霧氷) (비행장경보에 사용)
RSS,제곱근
RTE,항공로
RAC,항공 및 항공교통업무 규칙
RWY,활주로
R...,활주로 (METAR/SPECI의 수치가 이어짐)
RAI,활주로정대지시계기
RAG,활주로 제동장치
RCL,활주로중심선
RCLL,활주로중심선등
CLRD,활주로 해소
VAN,활주로통제차량
REDL,활주로등
RENL,활주로종단등
RESA,활주로종단안전구역
RLLS,활주로유도등
RSCD,활주로표면상태
RTHL,활주로시단등
RTZL,활주로접지구역등
RVR,S
SA,모래
SS,모래폭풍
SAN,검역
SPOC,수색구조 담당자
SBAS,위성항법시설(위성기반광역보강시스템)
SATCOM,위성통신
SAT,토요일
SCT,산재한 또는 운량이 3/8에서 4/8미만
SKED,정기
SEA,바다(해수면 온도와 바다 상태에서 사용)
W...,해수면온도
SAR,수색구조
SRR,수색구조지역
SRY,2차
SSR,레이더시설(2차 감시레이더)
SEC,초
SECN,"지구, 과"
SECT,섹터
SELCAL,선택호출장치
SIF,선택식별장치
SEP,9월
SER,업무
HS,계획된 운영시간에만 이용가능
HO,운영기준 충족시에만 이용 가능
SVC,일반사항 전문
SVCBL,사용가능한
SEV,"심한(착빙, 난류보고시)"
QTA,당국이 전보 번호 ...을 취소할까요? 또는 전보 번호 ...을 취소하라. (Q 코드로 AFS에 사용)
QJH,당국의 시험용 테이프/시험전문을 작동/송신할까요? 또는 귀국의 시험용 테이프/시험전문을 작동/송신 하시오. (Q 코드로서 AFS에 사용) 
MIFG,엷은안개
BRF,짧은 (원하거나 요구하는 접근의 종류를 나타내기 위해 사용됨)
SRG,단거리
STOL,단거리 이착륙
SH...,갑자기 쏟아지는
SGL,신호
SIG ,현저한
SALS,간이식 진입등시스템
SIMUL ,동시에
SIWL,단차륜하중
SSB,단측파대
SLW,천천히
GS,작은 우박 및/또는 싸락눈
FU,연기
SN,눈
SG,싸락눈
S,남쪽 또는 남위
SB,남쪽방향
SE,남동
SEB,남동방향
SSE,남남동
SSW,남남서
SW,남서
SWB,남서방향
