Abb,Meaning
TP,Turning point
T-VASIS,T visual approach slope indicator system
TYP,Type of aircraft
TYPH,Typhoon
TACAN,UHF tactical air navigation aid
UHF,Ultra high frequency [300 to 3 000 MHz]
UDF,Ultra high frequency direction-finding station
ULR,Ultra long range
UNA,Unable
UHDT,Unable higher due traffic
UNAP,Unable to approve
INCERFA,Uncertainty phase
UP,Unidentified precipitation (used in automated METAR/SPEC)
UNL,Unlimited
UA,Unmanned aircraft 
UAS,Unmanned aircraft system
UNREL,Unreliable
U/S,Unserviceable
TIL,Until
UAB... ,Until advised by...
UFN,Until further notice
TIP,Until past...(place)
UAR,Upper air route
UAC ,Upper area control centre
UTA,Upper control area
UIR,Upper flight information region
UIC,Upper information centre
U,Upward (tendency in RVR during previous I0 minutes)
VRB,Variable
...V...,"Variations from the mean wind direction(preceded and followed by figures in METAR/SPECI, e.g. 350V070)"
G...,Variations from the mean wind speed(gusts) (followed by figures in ETAR/SPECI and TAF)
VTF,Vector to final
VER,Vertical
VNAV,Vertical navigation
VPA,Vertical path angle
VSP,Vertical speed
VTOL,Vertical take-off and landing
VV...,Vertical visibility(followed by figures in METAR/SPECI and TAF)
VHF,Very high frequency [30 to 300 MHz]
VDF,Very high frequency direction-finding station
VIP,Very important person
VLR,Very long range
VLF,Very low frequency [3 to 30 kHz]
VOR,VHF omnidirectional radio range
VCY,Vicinity
VC...,"Vicinity of the aerodrome (followed by, FG =fog, FC =funnel cloud, SH = shower, PO = dust/sand whirls, BLDU = blowing dust, BLSA = blowing sand, BLSN = blowing snow, DS = duststorm, SS = sandstorm, TS = thunderstorm or VA =  volcanic ash,e.g. VCFG = vicinity fog)"
VIS,Visibility
CAVOK,"Visibility, cloud and present weather better than prescribed values or conditions"
VAC..,Visual approach chart(followed by name/title)
VASIS,Visual approach slope indicator systems 
VAR,Visual-aural radio range
VFR,Visual flight rules
VPT,Visual manoeuvre with prescribed track
VMC,Visual meteorological conditions
VSA,"Visual reference to the ground, By "
VA,Volcanic ash
VAAC,Volcanic ash advisory centre
VOT,VOR airborne equipment test facility
VORTAC,VOR and TACAN combination
WRNG,Warning
WTSPT,Waterspout
WPT,Way-point
OK,We agree or It is correct (to be used in AFS as a procedure signal)
WKN,Weaken or weakening
WX,Weather
WED,Wednesday
WT,Weight
W,West or western longitude
WB,Westbound
WNW,West-north-west
WSW,West-south-west
QGE,What is my distance to your station? or Your distance to my station is(distance figures and units) (to be used in radiotelegraphy as a Q Code)
W,White
OPA,"White type of ice formation, Opaque "
WAAS,Wide area augmentation system
WDSPR,Widespread
WID,Width or wide
WILCO,Will comply
QTF,"Will you give me the position of my station according to the bearings taken by the D/F stations which you control? or The position of your station according to the bearings taken by the D/F stations that I control was... latitude... longitude (or other indication of position), class... at... hours (to be used in radiotelegraphy as a Q Code)"
QUJ,Will you indicate the TRUE track to reach you? or The TRUE track to reach me is... degrees at... hours (to be used in radiotelegraphy as a Q Code)
QSP,Will you relay to... . free of charge? or I will relay to'... free of charge (to be used in AFS as a Q Code)
WIND,Wind
WDI,Wind direction indicator
WS,Wind shear
WSPD,Wind speed
WBAR,Wing bar lights
WEF,With effect from or effective from
WIE,With immediate effect or effective immediately
WI ,Within
WO,ithout
WIP,Work in progress
WAC...,World Aeronautical Chart - ICAO  1 : 1 000 000(followed by narne/title)
WAFC,World area forecast centre
WGS-84,World Geodetic System - 1984
WWW,Worldwide web
Y,Yellow
YCZ,Yellow caution zone (runway lighting;)
AFM,"Yes, affirm, affirmative, that is correct"
YES,Yes (affirmative) (to be used in AFS as a procedure signal)
YR,Your
A,Amber
AAA,Amended meteorological message
A/A,Air-to-air
AAD,Assigned altitude deviation
AAIM,Aircraft autonomous integrity monitoring
AAL,Above aerodrome level
ABI,Advance boundary information
ABM,Abeam
ABN,Aerodrome beacon
ABT,About
ABV,Above
AC,Altocumulus
ACARS,Aircraft communication addressing and reporting system
ACAS,Airborne collision avoidance system
ACC,"Area control centre, Area control"
ACCID,Notification of an aircraft accident
ACFT,Aircraft
ACK,Acknowledge
ACL,Altimeter check location
ACN,Aircraft classification number
ACP,Acceptance(message type designator)
ACPT,"Accept, accepted"
ACT,"Active, activated, activity"
AD,aerodrome
ADA,Advisory area
ADC,Aerodrome chart
ADDN,"Addition, additional"
ADF,Automatic direction-finding equipment
ADIZ,Air defence identification zone
ADJ,Adjacent
ADO,Aerodrome office
ADR,Advisory route
ADS,Automatic dependent surveillance
ADS-B,Automatic dependent surveillance-broadcast
ADS-C,Automatic dependent surveillance-contract
ADSU,Automatic dependent surveillance unit
ADVS,Advisory service
ADZ,Advise
AES,Aircraft earth station
AFIL,Flight plan filed in the air
AFIS,Aerodrome flight information service
AFM,"Yes, affirm, affirmative, that is correct"
AFS,Aeronautical fixed service
AFT,"After (time, palce)"
AFTN,Aeronautical fixed telecommunication network
A/G,Air-to-ground
AGA,"Aerodromes, air routes and ground aids"
AGL,Above ground level
AGN,Again
AIC,Aeronautical information circular
AIDC,Air traffic services interfacility data communications
AIP,Aeronautical information publication
AIRAC,Aeronautical information regulation and control
AIREP,Air-report
AIRMET,Information concerning en-route weather phenomena which may affect the safety of low-level aircraft operations
AIS,Aeronautical information services
ALA,Alighting area
ALERFA,Alert phase
ALR,Alerting (message type designator)
ALRS,Alerting service
ALS,Approach lighting system
ALT,Altitude
ALTN,"Alternate, alternating(light alternates in colour)"
ALTN,Alternate(aerodrome)
AMA,Area minimum altitude
AMD,"Amend, amended(used to indicate amended meteorogical message; message type designator)"
AMDT,Amendment(AIP Amendment)
AMS,Aeronautical mobile service
AMSL,Above mean sea level
AMSS,Aeronautical mobile satellite service
ANC,Aeronautical chart-1:500 000
ANCS,Aeronautical navigation chart-small scale
ANS,Answer
AOC,Aerodrome obstacle chart
AP,Airport
APAPI,Abbreviated precision approach path indicator
APCH,Approach
APDC,Aircraft parking/docking chart
APN,Apron
APP,"Approach control office, approach control, approach control service"
APR,April
APRX,"Approximate, approximately"
APSG,After passing
APV,"Approve, approved, approval"
ARC,Area chart
ARNG,Arrange
ARO,Air traffic services reporting office
ARP,Aerodrome reference point
ARP,Air-report(message type designator)
ARQ,Automatic error correction
ARR,Arrival(message type designator)
ARR,"Arrive, arrival"
ARS,Special air-report(message type designator)
ARST,Arresting(specify part of aircraft arresting equipment)
AS,Altostratus
ASC,"Ascend to, ascending to"
ASDA,Accelerate-stop distance available
ASE,Altimetry system error
ASHTAM,"Special series NOTAM notifying, by means of a specific format, change in activity of a volcano, a volanic eruption and/or volcanic ash cloud that is of significance to aircraft operations"
ASPH,Asphalt
AT...,At(followed by time at which weather change is forecast to occur)
ATA,Actual time of arrival
ATC,Air traffic control
ATCSMAC,Air traffic control surveillance minimum altitude chart
ATD,Actual time of departure
ATFM,Air traffic flow management
ATIS,Automatic terminal information service
ATM,Air traffic management
ATN,Aeronautical telecommunication network
ATP,At..(time or place)
ATS,Air traffic services
ATTN,Attention
AT-VASIS,Abbreviated T visual approach slope indicator system
ATZ,Aerodrome traffic zone
AUG,August
AUTH,"Authorized, authorization"
AUW,All up weight
AUX,Auxiliary
AVBL,"Available, availability"
AVG,Average
AVGAS,Aviation gasoline
AWTA,Advise at what time able
AWY,Airway
AZM,Azimuth
B,Blue
BA,Braking action
BARO-VNAV,Barometric vertical navigation
BASE,Cloud base
BCFG,Fog patches
BCN,Beacon (aeronautical ground light)
BCST,Broadcast
BDRY,Boundary
BECMG,Becoming
BFR,Before
BKN,Broken
BL...,"Blowing(followed by DU = dust, SA = sand or SN = snow)"
BLDG,Building
BLO,Below clouds
BLW...,Below...
BOMB,Bombing
BR,Mist
BRF,Short (used to indicate the type of approach desired or required)
BRG,Bearing
BRKG,Braking
BS,Commercial broadcasting station
BTL,Between layers
BTN,Between
BUFR,Binary universal form for the representation of meteorological data
...C,Centre(preceded by runway designation number to identify a parallel runway)
C,Degrees Celsius (Centigrade)
CA,Course to an altitude
CAT,Category
CAT,Clear air turbulence
CAVOK,"(to be pronounced ""KAV-OH-KAY"") Visibility, cloud and present weather better than prescribed values or conditions"
CB,"(to be pronounced ""CEE-BEE"") Cumulonimbus"
CC,Cirrocumulus
CCA,"(or CCB, CCC ... etc. in sequence) Corrected meteorological message (message type designator)"
CD,Candela
CDN,Coordination 
CF,Change frequency to...
CF,Course to a fix
CFM*,Confirm or I confirm (to be used in AFS as a procedure signal)
CGL,Circling guidance light(s)
CH,channel
CH#,This is a channel-continuity-check of transmission to permit comparison of your record of channel-sequence numbers of messages received on the channel (to be used in AFS as a procedure signal)
CHEM,Chemical
CHG,Modification (message type designator)
CI,Cirrus
CIDIN,Common ICAO data interchange network
CIT,Near or over large towns
CIV,Civil
CK,Check
CL,Centre line
CLA,Clear type of ice formation
CLBR,Calibration
CLD,Cloud
CLG,Calling
CLIMB-OUT,Climb-out area
CLR,Clear(s) or cleared to...or clearance
CLRD,Runway(s) cleared (used in METAR/SPECI)
CLSD,Close or closed or closing
CM,Centimetre
CMB,Climb to or climbing to
CMPL,Completion or completed or complete
CNL,Cancel or cancelled
CNL,Flight plan cancellation (message type designator)
CNS,"Communications, navigation and surveillance"
COM,Communications
CONC,Concrete
COND,Condition
CONS,Continuous
CONST,Construction or constructed
CONT,Continue(s) or continued
COOR,Coordinate or coordination
COORD,Coordinates
COP,Change-over point
COR,Correct or correction or corrected (used to indicate corrected meteorological message ; message type designator)
COT,At the coast
COV,Cover or covered or covering
CPDLC,Controller-pilot data link communications
CPL,Current flight plan (message type designator)
CRC,Cyclic redundancy check
CRM,Collision risk model
CRZ,Cruise
CS,Call sign
CS,Cirrostratus
CTA,Control area
CTAM,Climb to and maintain
CTC,Contact
CTL,Control
CTN,Caution
CTR,Control zone
CU,Cumulus
CUF,Cumuliform
CUST,Customs
CVR,Cockpit voice recorder
CW,Continuous wave
CWY,Clearway
D,Downward (tendency in RVR during previous 10 minutes)
D...,Danger area(followed by identification)
DA,Decision altitude
D-ATIS,"(to be pronounced ""DEE-ATIS"") Data link automatic terminal information service"
DCD,Double channel duplex
DCKG,Docking
DCP,Datum crossing point
DCPC,Direct controller-pilot communications
DCS,Double channel simplex
DCT,Direct (in relation to flight plan clearances and type of approach)
DE*,From (used to precede the call sign of the calling station) (to be used in AFS as a procedure signal)
DEC,December
DEG,Degrees
DEP,Depart or departure
DEP,Departure (message type designator)
DEPO,Deposition
DER,Departure end of the runway
DES,Descend to or descending to
DEST,Destination
DETRESFA,Distress phase
DEV,Deviation or deviating
DF,Direction finding
DFDR,Digital flight data recorder
DFTI,Distance from touchdown indicator
DH,Decision height
DIF,Diffuse
DIST,Distance
DIV,Divert or diverting
DLA,Delay or delayed
DLA,Delay (message type designator)
DLIC,Data link initiation capability
DLY,Daily
DME,Distance measuring equipment
DNG,Danger or dangerous
DOM,Domestic
DP,Dew point temperature
DPT,Depth
DR,Dead reckoning
DR...,"Low drifting(followed by DU = dust, SA = sand or SN = snow)"
DRG,During
DS,Duststorm
DSB,Double sideband
DTAM,Descend to and maintain
DTG,Date-time group
DTHR,Displaced runway threshold
DTRT,Deteriorate or deteriorating
DTW,Dual tandem wheels
DU,Dust
DUC,Dense upper cloud
DUPE,This is a duplicate message (to be used in AFS as a procedure signal)
DUR,Duration
D-VOLMET,Data link VOLMET
DVOR,Doppler VOR
DW,Dual wheels
DZ,Drizzle
E,East or eastern longitude
EAT,Expected approach time
EB,Eastbound
EDA,Elevation differential area
EEE,Error(to be used in AFS as a procedure signed)
EET,Estimated elapsed time
EFC,Expected further clearance
EFIS,Electronic flight instrument system
EGNOS,European geostationary navigation overlay service
EHF,Extremely high frequency [30 000 to 300 000 MHz]
ELBA,Emergency location beacon - aircraft
ELEV,Elevation
ELR,Extra long range
ELT,Emergency locator transmitter
EM,Emission
EMBD,Embedded in a layer (to indicate cumulonimbus embedded in layers of other clouds)
EMERG,Emergency
END,Stop-end (related to RVR)
ENE,East-north-east
ENG,Engine
ENR,En route
ENRC...,Enroute chart(followed by name/title)
EOBT,Estimated off-block time
EQPT,Equipment
ER*,Here...or herewith
ESE,East-south-east
EST,Estimate or estimated or estimation (message type designator)
ETA,Estimated time of arrival or estimating arrival
ETD,Estimated time of departure or estimating departure
ETO,Estimated time over significant point
EUR RODEX,European regional OPMET data exchange
EV,Every
EVS,Enhanced vision system
EXC,Except
EXER,Exercises or exercising or to exercise
EXP,Expect or expected or expecting
EXTD,Extend or extending
F,Fixed
FA,Course from a fix to an altitude
FAC,Facilities
FAF,Final approach fix
FAL,Facilitation of international air transport
FAP,Final approach point
FAS,Final approach segment
FATO,Final approach and take-off area
FAX,Facsimile transmission
FBL,"Light (used to indicate the intensity of weather phenomena, interference or static reports, e.g. FBL RA = light rain)"
FC,Funnel cloud (tornado or water spout)
FCST,Forecast
FCT,Friction coefficient
FDPS,Flight data processing system
FEB,February
FEW,Few
FG,Fog
FIC,Flight information centre
FIR,Flight information region
FIS,Flight information service
FISA,Automated flight information service
FL,Flight level
FLD,Field
FLG,Flashing
FLR,Flares
FLT,Flight
FLTCK,Flight check
FLUC,Fluctuating or fluctuation or fluctuated
FLW,Follow(s) or following
FLY,Fly or flying
FM,Course from a fix to manual termination (used in navigation database coding)
FM,From
FM...,From(followed by time weather change is forecast to begin)
FMC,Flight management computer
FMS,Flight management system
FMU,Flow management unit
FNA,Final approach
FPAP,Flight path alignment point
FPL,Filed flight plan (message type designator)
FPM,Feet per minute
FPR,Flight plan route
FR,Fuel remaining
FREQ,Frequency
FRI,Friday
FRNG,Firing
FRONT,Front (relating to weather)
FROST,Frost (used in aerodrome warnings)
FRQ,Frequent
FSL,Full stop landing
FSS,Flight service station
FST,First
FT,Feet (dimensional unit)
FTE,Flight technical error
FTP,Fictitious threshold point
FTT,Flight technical tolerance
FU,Smoke
FZ,Freezing
FZDZ,Freezing drizzle
FZFG,Freezing fog
FZRA,Freezing rain
G,Green
G...,Variations from the mean wind speed(gusts) (followed byJigures in METAR/SPECI and TAF)
GA,"Go ahead, resume sending (to be used in AFS as a procedure signal)"
G/A,Ground-to-air
G/A/G,Ground-to-air and air-to-ground
GAGAN,GPS and geostationary earth orbit augmented navigation 
GAIN,Airspeed or headwind gain
GAMET,Area forecast for low-level flights
GARP,GBAS azimuth reference point
GBAS,"(to be pronounced ""GEE-BAS”) Ground-based augmentation system"
GCA,Ground controlled approach system or ground controlled approach
GEN,General
GEO,Geographic or true
GES,Ground earth station
GLD,Glider
GLONASS,"(to be pronounced ""GLO-NAS"") Global orbiting navigation satellite system"
GLS,GBAS landing system
GMC . .,Ground movement chart (followed by name/title)
GND,Ground
GNDCK,Ground check
GNSS,Global navigation satellite system
GP,Glide path
GPA,Glide path angle
GPIP,Glide path intercept point
GPS,Global positioning system
GPWS,Ground proximity warning system
GR,Hail
GRAS,"(to be pronounced “""GRASS”"")Ground-based regional augmentation system"
GRASS,Grass landing area
GRIB,Processed meteorological data in the form of grid point values expressed in binary form(meteorological code)
GRVL,Gravel
GS,Ground speed
GS,Small hail and/or snow pellets
GUND,Geoid undulation
H,High pressure area or the centre of high pressure
H24,Continuous day and night service
HA,Holding/racetrack to an altitude
HAPI,Helicopter approach path indicator
HBN,Hazard beacon
HDF,High frequency direction-finding station
HDG,Heading
HEL,Helicopter
HF,High frequency [3 000 to 30 000 kHz]
HF,Holding/racetrack to a fix
HGT,Height or height above
HJ,Sunrise to sunset
HLDG,Holding
HM,Holding/racetrack to a manual termination
HN,Sunset to sunrise
HO,Service available to meet operational requirements
HOL,Holiday
HOSP,Hospital aircraft
HPA,Hectopascal
HR,Hours
HS,Service available during hours of scheduled operations
HUD,Head-up display
HURCN,Hurricane
HVDF,High and very high frequency direction-finding stations (at the same location)
HVY,Heavy
HVY,"Heavy (used to indicate the intensity of weather phenomena, e.g. HVY RA = heavy rain)"
HX,No specific working hours
HYR,Higher
HZ,Haze
HZ,Hertz (cycle per second)
IAC...,Instrument approach chart(followed by name/title)
IAF,Initial approach fix
IAO,In and out of clouds
IAP,Instrument approach procedure
IAR,Intersection of air routes
IAS,Indicated airspeed
IBN,Identification beacon
IC,"Ice crystals (very small ice crystals in suspension, also known as diamond dust)"
ICE,Icing
ID,Identifier or identify
IDENT,Identification
IF,Intermediate approach fix
IFF,Identification friend/foe
IFR,Instrument flight rules
IGA,International general aviation
ILS,Instrument landing system
IM,Inner marker
IMC,Instrument meteorological conditions
IMG,Immigration
IMI,Interrogation sign (question mark) (to be used in AFS as a procedure signal)
IMPR,Improve or improving
IMT,Immediate or immediately
INA,Initial approach
INBD,Inbound
INC,In cloud
INCERFA,Uncertainty phase
INFO,Information
INOP,Inoperative
INP,If not possible
INPR,In progress
INS,Inertial navigation system
INSTL,Install or installed or installation
INSTR,Instrument
INT,Intersection
INTL,International
INTRG,Interrogator
INTRP,Interrupt or interruption or interrupted
INTSF,Intensify or intensifying
INTST,Intensity
IR,Ice on runway
IRS,Inertial reference system
ISA,International standard atmosphere
ISB,Independent sideband
ISOL,Isolated
JAN,January 
JTST,Jet stream
JUL,July
JUN,June
KG,Kilograms
KHZ,Kilohertz
KIAS,Knots indicated airspeed
KM,Kilometres
KMH,Kilometres per hour
KPA,Kilopascal
KT,Knots
KW,Kilowatts
...L,Left (preceded by runway designation number to identify a parallel runway)
L,"Locator (see LM, LO)"
L,Low pressure area or the centre of low pressure
LAM,Logical acknowledgement (message type designator)
LAN,Inland
LAT,Latitude
LCA,Local or locally or location or located
LDA,Landing distance available
LDAH,"Landing distance available, helicopter"
LDG,Landing
LDI,Landing direction indicator
LEN,Length
LF,Low frequency [30 to 300 kHz]
LGT,Light or lighting
LGTD,Lighted
LIH,Light intensity high
LIL,Light intensity low
LIM,Light intensity medium
LINE,Line (used in SIGMET)
LM,"Locator, middle"
LMT,Local mean time
LNAV,Lateral navigation
LNG,Long (used to indicate the type of approach desired or required)
LO,"Locator, outer"
LOC,Localizer
LONG,Longitude
LORAN,LORAN (long range air navigation system)
LOSS,Airspeed or headwind loss
LPV,Localizer performance with vertical guidance
LR,The last message received by me was...(to be used in AFS as a procedure signal)
LRG,Long range
LS,The last message sent by me was... or Last message was... (to be used in AFS as a procedure signal)
LTD,Limited
LTP,Landing threshold point
LTT,Landline teletypewriter
LV,Light and variable (relating to wind)
LVE,Leave or leaving
LVL,Level
LVP,Low visibility procedures
LYR,Layer or layered
...M,Metres (preceded by figures)
M...,Mach number(followed by figures)
M...,Minimum value of runway visual range(followed by figures in METAR/SPECI)
MAA,Maximum authorized altitude
MAG,Magnetic
MAHF,Missed approach holding fix
MAINT,Maintenance
MAP,Aeronautical maps and charts
MAPT,Missed approach point
MAR,At sea
MAR,March
MAS,Manual Al simplex
MATF,Missed approach turning fix
MAX,Maximum
MAY,May
MBST,Microburst
MCA,Minimum crossing altitude
MCW,Modulated continuous wave
MDA,Minimum descent altitude
MDF,Medium frequency direction-finding station
MDH,Minimum descent height
MEA,Minimum en-route altitude
MEHT,Minimum eye height over threshold（for visual　approach slope indicator systems)
MET,Meteorological or meteorology
METAR,Aerodrome routine meteorological report(in meteorological code)
MET,Local routine meteorological report (in abbreviated plain language)
REPORT,국지정기기상보고(평문 약어 사용)
MF,Medium frequency [300 to 3 000 kHz]
MHDF,Medium and high frequency direction-finding stations (at the same location)
MHVDF,"Medium, high and very high frequency direction-finding stations (at the same location)"
MHZ,Megahertz
MID,Mid-point (related to RVR)
MIFG,Shallow fog
MIL,Military
MIN,Minutes
MIS,Missing...(transmission identification) (to be used in AFS as a procedure signal)
MKR,Marker radio beacon
MLS,Microwave landing system
MM,Middle marker
MNM,Minimum
MNPS,Minimum navigation performance specifications
MNT,Monitor or monitoring or monitored
MNTN,Maintain
MOA,Military operating area
MOC,Minimum obstacle clearance (required)
MOCA,Minimum obstacle clearance altitude
MOD,"Moderate (used to indicate the intensity of weather phenomena, interference or static reports, e.g. MODRA = moderate rain)"
MON,Above mountains
MON,Monday
MOPS,Minimum operational performance standards
MOV,Move or moving or movement
MPS,Metres per second
MRA,Minimum reception altitude
MRG,Medium range
MRP,ATS/MET reporting point
MS,Minus
MSA,Minimum sector altitude
MSAS,Multifunctional transport satellite (MTSAT) satellite-based augmentation system
MSAW,Minimum safe altitude warning
MSG,Message
MSL,Mean sea level
MSR,Message...(transmission identification) has been misrouted (to be used in AFS as a procedure signal)
MSSR,Monopulse secondary surveillance radar
MT,Mountain
MTU,Metric units
MTW,Mountain waves
MVDF,Medium and very high frequency direction finding stations (at the same location)
MWO,Meteorological watch office
MX,Mixed type of ice formation (white and clear)
N,No distinct tendency (in RVR during previous 10 minutes)
N,North or northern latitude
NADP,Noise abatement departure procedure
NASC,National AIS system centre
NAT,North Atlantic
NAV,Navigation
NB,Northbound
NBFR,Not before
NC,No change
NCD,No cloud detected (used in automated METAR/SPECI)
NDB,Non-directional radio beacon
NDV,No directional variations available (used in automated METAR/SPECI)
NE,North-east
NEB,North-eastbound
NEG,No or negative or permission not granted or that is not correct
NGT,Night
NIL,None or I have nothing to send to you
NM,Nautical miles
NML,Normal
NN,"No name, unnamed"
NNE,North-north-east
NNW,North-north-west
NO,No (negative) (to be used in AFS as a procedure signal)
NOF,International NOTAM office
NOSIG,No significant change (used in trend-type landing forecasts)
NOTAM,"A notice distributed by means of telecommunication containing information concerning the establishment, condition or change in any aeronautical facility, service, procedure or hazard, the timely knowledge of which is essential to  personnel concerned with flight operations"
NOV,November
NOZ,Normal operating zone
NPA,Non-precision approach
NR,Number
NRH,No reply heard
NS,Nimbostratus
NSC,Nil significant cloud
NSE,Navigation system error
NSW,Nil significant weather
NTL,National
NTZ,No transgression zone
NW,North-west
NWB,North-westbound
NXT,Next
OAC,Oceanic area control centre
OAS,Obstacle assessment surface
OBS,Observe or observed or observation
OBSC,Obscure or obscured or obscuring
OBST,Obstacle
OCA,Obstacle clearance altitude
OCA,Oceanic control area
OCC,Occulting (light)
OCH,Obstacle clearance height
OCNL,Occasional or occasionally
OCS,Obstacle clearance surface
OCT,October
OFZ,Obstacle free zone .
OGN,Originate (to be used in AFS as a procedure signal)
OHD,Overhead
OIS,Obstacle identification surface
OK,We agree or It is correct (to be used in AFS as a procedure signal)
OLDI,On-line data interchange
OM,Outer marker
OPA,"Opaque, white type of ice formation"
OPC,Control indicated is operational control
OPMET,Operational meteorological (information)
OPN,Open or opening or opened
OPR,Operator or operate or operative or operating or operational
OPS,Operations
O/R,On request
ORD,Order
OSV,Ocean station vessel
OTP,On top
OTS,Organized track system
OUBD,Outbound
OVC,Overcast
P...,Maximum value of wind speed or runway visual range(fallowed by figures in METAR/SPECI and TAF)
P...,Prohibited area(followed by identifcation)
PA,Precision approach
PALS,Precision approach lighting system (specify category)
PANS,Procedures for air navigation services
PAPI,Precision approach path indicator
PAR,Precision approach radar
PARL,Parallel
PATC...,Precision approach terrain chart(followed by name/title)
PAX,Passenger(s)
PBN,Performance-based navigation
PCD,Proceed or proceeding
PCL,Pilot-controlled lighting
PCN,Pavement classification number
PDC,Pre-departure clearance
PDG,Procedure design gradient
PER,Performance
PERM,Permanent
PIB,Pre-flight information bulletin
PJE,Parachute jumping exercise
PL,Ice pellets
PLA,Practice low approach
PLN,Flight plan 
PLVL,Present level
PN,Prior notice required
PNR,Point of no return
PO,Dust/sand whirls (dust devils)
POB,Persons on board
POSS,Possible
PPI,Plan position indicator
PPR,Prior permission required
PPSN,Present position
PRFG,Aerodrome partially covered by fog
PRI,Primary
PRKG,Parking
PROB,Probability
PROC,Procedure
PROV,Provisional
PRP,Point-in-space reference point
PS,Plus
PSG,Passing
PSN,Position
PSP,Pierced steel plank
PSR,Primary surveillance radar
PSYS,Pressure system(s)
PTN,Procedure turn
PTS,Polar track structure
PWR,Power
QD,Do you intend to ask me for a series of bearings? or I intend to ask you for a series of bearings (to be used in radiotelegraphy as a Q Code)
QDM,Magnetic heading (zero wind)
QDR,Magnetic bearing
QFE,Atmospheric pressure at aerodrome elevation(or at runway threshold)
QFU,Magnetic orientation of runway
QGE,What is my distance to your station? or Your distance to my station is(distance figures and units) (to be used in radiotelegraphy as a Q Code)
QJH,Shall I run my test tape/a test sentence? or Run your test tape/a test sentence (to be used in AFS as a Q Code).
QNH,Altimeter sub-scale setting to obtain elevation when on the ground
QSP,Will you relay to... . free of charge? or I will relay to'... free of charge (to be used in AFS as a Q Code)
QTA,Shall I cancel telegram number...? or Cancel telegram number... (to be used in AFS as a Q Code)
QTE,True bearing
QTF,"Will you give me the position of my station according to the bearings taken by the D/F stations which you control? or The position of your station according to the bearings taken by the D/F stations that I control was . . . latitude . . . longitude (or other indication of position), class . . . at . . . hours (to be used in radiotelegraphy as a Q Code)"
QUAD,Quadrant
QUJ,Will you indicate the TRUE track to reach you? or The TRUE track to reach me is. . . degrees at. . . hours (to be used in radiotelegraphy as a Q Code)
...R,Right (preceded by runway designation number to identifi a parallel runway)
R,Rate of turn
R,Red
R...,Restricted area(followed by identification)
R...,Runway(followed by figures in METAR/SPECI)
R,Received (acknowledgement of receipt) (to be used in AFS as a procedure signal)
RA,Rain
RA,Resolution advisory
RAC,Rules of the air and air traffic services
RAG,Ragged
RAG,Runway arresting gear
RAI,Runway alignment indicator
RAIM,Receiver autonomous integrity monitoring
RASC,Regional AIS system centre
RASS,Remote altimeter setting source
RB,Rescue boat
RCA,Reach cruising altitude
RCC,Rescue coordination centre
RCF,Radiocommunication failure (message type designator)
RCH,Reach or reaching
RCL,Runway centre line
RCLL,Runway centre line light(s)
RCLR,Recleared
RCP,Required communication performance
RDH,Reference datum height
RDL,Radial
RDO,Radio
RE,"Recent (used to qualify weather phenomena, e.g. RERA = recent rain)"
REC,Receive or receiver
REDL,Runway edge light(s)
REF,Reference to... or refer to...
REG,Registration
RENL,Runway end light(s)
REP,Report or reporting or reporting point
REQ,Request or requested
RERTE,Re-route
RESA,Runway end safety area
RF,Constant radius arc to a fix
RG,Range (lights)
RHC,Right-hand circuit
RIF,Reclearance in flight
RIME,Rime (used in aerodrome warnings)
RITE,Right (direction of turn)
RL,Report leaving
RLA,Relay to
RLCE,Request level change en route
RLLS,Runway lead-in lighting system
RLNA,Request level not available
RMK,Remark
RNAV,Area navigation
RNG,Radio range
RNP,Required navigation performance
ROBEX,Regional OPMET bulletin exchange (scheme)
ROC,Rate of climb
ROD,Rate of descent
RON,Receiving only
RPDS,Reference path data selector
RPI,Radar position indicator
RPL,Repetitive flight plan
RPLC,Replace or replaced
RPS,Radar position symbol
RPT,Repeat or I repeat (to be used in AFS as a procedure signal)
RQ,Request (to be used in AFS as a procedure signal)
RQMNTS,Requirements
RQP,Request flight plan (message type designator)
RQS,Request supplementary flight plan (message tvpe designator)
RR,Report reaching 
RRA,Delayed meteorological message (message type designator)
RSC,Rescue sub-centre
RSCD,Runway surface condition
RSP,Responder beacon
RSR,En-route surveillance radar
RSS,Root sum square
RTD,Delayed (used to indicate delayed meteorological message; message type designator)
RTE,Route
RTF,Radiotelephone
RTG,Radiotelegraph
RTHL,Runway threshold light(s)
RTN,Return or returned or returning
RTODAH,"Rejected take-off distance available, helicopter"
RTS,Return to service
RTT,Radioteletypewriter
RTZL,Runway touchdown zone light(s)
RUT,Standard regional route transmitting frequencies
RV,Rescue vessel
RVR,Runway visual range
RVSM,Reduced vertical separation minimum (300 m(1 000 ft)) between FL 290 and FL 410
RWY,Runway
S,South or southern latitude
S...,State of the sea(followed by figures in METAR/SPECI)
SA,Sand
SALS,Simple approach lighting system
SAN,Sanitary
SAP,As soon as possible
SAR,Search and rescue
SARPS,Standards and Recommended Practices[ICAO]
SAT,Saturday
SATCOM,Satellite communication
SB,Southbound
SBAS,Satellite-based augmentation system
SC,Stratocumulus
SCT,Scattered
SD,Standard deviation
SDBY,Stand by
SDF,Step down fix
SE,South-east
SEA,Sea (used in connection with sea-surface temperature and state of the sea)
SEB,South-eastbound
SEC,Seconds
SECN,Section
SECT,Sector
